,word,S_Prob,NS_Prob,Ratio,Info_Gain,label
3380,live,0.001891,0.001322,1.430408,0.222371128102298,ham
155,bill,0.001294,0.000909,1.423542,0.21832904230714167,ham
2934,discrimination,0.000697,0.000496,1.405242,0.20762608154456444,ham
427,class,0.000697,0.000496,1.405242,0.20762608154456444,ham
2000,thur,0.000796,0.000579,1.374784,0.19004253635628907,ham
1966,icon,0.0008960000000000001,0.000661,1.355522,0.17907336270344065,ham
1624,imo,0.0010949999999999998,0.0008269999999999999,1.324063,0.16141473242363466,ham
2435,kthalps,0.0010949999999999998,0.0008269999999999999,1.324063,0.16141473242363466,ham
2229,morning,0.003583,0.002727,1.313898,0.15577791685899098,ham
2672,law,0.001294,0.000992,1.304435,0.1505610745391332,ham
1733,nyt,0.0016920000000000001,0.001322,1.279879,0.1371632415945033,ham
347,sit,0.001991,0.00157,1.268153,0.13083744180616033,ham
985,comments,0.000199,0.000165,1.206061,0.09813630803093217,ham
1994,memory,0.000199,0.000165,1.206061,0.09813630803093217,ham
745,sketch,0.000199,0.000165,1.206061,0.09813630803093217,ham
2514,kithonline,0.000199,0.000165,1.206061,0.09813630803093217,ham
130,thelex,0.000199,0.000165,1.206061,0.09813630803093217,ham
3713,april,0.000199,0.000165,1.206061,0.09813630803093217,ham
2480,putting,0.000199,0.000165,1.206061,0.09813630803093217,ham
2441,lesbians,0.000199,0.000165,1.206061,0.09813630803093217,ham
579,bush,0.000199,0.000165,1.206061,0.09813630803093217,ham
757,covered,0.000199,0.000165,1.206061,0.09813630803093217,ham
3131,friends,0.000199,0.000165,1.206061,0.09813630803093217,ham
2736,subject,0.000199,0.000165,1.206061,0.09813630803093217,ham
1601,breaking,0.000199,0.000165,1.206061,0.09813630803093217,ham
1157,broadcast,0.000199,0.000165,1.206061,0.09813630803093217,ham
3582,dnto,0.000199,0.000165,1.206061,0.09813630803093217,ham
53,credit,0.000199,0.000165,1.206061,0.09813630803093217,ham
2740,wanna,0.000199,0.000165,1.206061,0.09813630803093217,ham
781,rare,0.000199,0.000165,1.206061,0.09813630803093217,ham
1429,claim,0.000199,0.000165,1.206061,0.09813630803093217,ham
2746,tummeling,0.000199,0.000165,1.206061,0.09813630803093217,ham
365,smooth,0.000199,0.000165,1.206061,0.09813630803093217,ham
28,exactly,0.000199,0.000165,1.206061,0.09813630803093217,ham
1647,diary,0.000199,0.000165,1.206061,0.09813630803093217,ham
2730,honor,0.000199,0.000165,1.206061,0.09813630803093217,ham
3169,smith,0.000199,0.000165,1.206061,0.09813630803093217,ham
22,biggest,0.000199,0.000165,1.206061,0.09813630803093217,ham
3170,seek,0.000199,0.000165,1.206061,0.09813630803093217,ham
2292,essay,0.000199,0.000165,1.206061,0.09813630803093217,ham
2246,google,0.000199,0.000165,1.206061,0.09813630803093217,ham
1362,original,0.000199,0.000165,1.206061,0.09813630803093217,ham
1491,sarahm,0.000199,0.000165,1.206061,0.09813630803093217,ham
2772,product,0.000199,0.000165,1.206061,0.09813630803093217,ham
1824,religious,0.000199,0.000165,1.206061,0.09813630803093217,ham
3316,bud,0.000199,0.000165,1.206061,0.09813630803093217,ham
3804,contract,0.000199,0.000165,1.206061,0.09813630803093217,ham
1086,jsmooth,0.000199,0.000165,1.206061,0.09813630803093217,ham
3251,attention,0.000199,0.000165,1.206061,0.09813630803093217,ham
1085,ticket,0.000199,0.000165,1.206061,0.09813630803093217,ham
2803,joe,0.000199,0.000165,1.206061,0.09813630803093217,ham
3310,lovely,0.000199,0.000165,1.206061,0.09813630803093217,ham
2554,gall,0.000199,0.000165,1.206061,0.09813630803093217,ham
3775,shakes,0.000199,0.000165,1.206061,0.09813630803093217,ham
3852,thelancearthur,0.000199,0.000165,1.206061,0.09813630803093217,ham
1347,wide,0.000199,0.000165,1.206061,0.09813630803093217,ham
277,debcha,0.000199,0.000165,1.206061,0.09813630803093217,ham
1499,coffee,0.000199,0.000165,1.206061,0.09813630803093217,ham
3875,venture,0.000199,0.000165,1.206061,0.09813630803093217,ham
2099,character,0.000199,0.000165,1.206061,0.09813630803093217,ham
1511,calling,0.000199,0.000165,1.206061,0.09813630803093217,ham
2326,fucking,0.000199,0.000165,1.206061,0.09813630803093217,ham
2079,lover,0.000199,0.000165,1.206061,0.09813630803093217,ham
3831,signs,0.000199,0.000165,1.206061,0.09813630803093217,ham
2105,bed,0.000199,0.000165,1.206061,0.09813630803093217,ham
24,black,0.0004980000000000001,0.000413,1.205811,0.09800740334563676,ham
887,indiana,0.0004980000000000001,0.000413,1.205811,0.09800740334563676,ham
1015,allen,0.0004980000000000001,0.000413,1.205811,0.09800740334563676,ham
546,longer,0.000299,0.000248,1.205645,0.09792182307019112,ham
3471,killed,0.000299,0.000248,1.205645,0.09792182307019112,ham
3513,julia,0.000299,0.000248,1.205645,0.09792182307019112,ham
2651,fire,0.000299,0.000248,1.205645,0.09792182307019112,ham
3072,outside,0.000299,0.000248,1.205645,0.09792182307019112,ham
3992,canadian,0.000299,0.000248,1.205645,0.09792182307019112,ham
393,patrick,0.000299,0.000248,1.205645,0.09792182307019112,ham
428,tomorrow,0.000299,0.000248,1.205645,0.09792182307019112,ham
2408,youtube,0.000299,0.000248,1.205645,0.09792182307019112,ham
560,lebowitz,0.000299,0.000248,1.205645,0.09792182307019112,ham
2911,might,0.000299,0.000248,1.205645,0.09792182307019112,ham
2631,centre,0.000299,0.000248,1.205645,0.09792182307019112,ham
2321,link,0.000299,0.000248,1.205645,0.09792182307019112,ham
2112,special,0.000299,0.000248,1.205645,0.09792182307019112,ham
1245,soft,0.000299,0.000248,1.205645,0.09792182307019112,ham
1546,blogging,0.000299,0.000248,1.205645,0.09792182307019112,ham
1131,hockey,0.000299,0.000248,1.205645,0.09792182307019112,ham
1421,inequality,0.000299,0.000248,1.205645,0.09792182307019112,ham
1754,uses,0.000299,0.000248,1.205645,0.09792182307019112,ham
3547,accept,0.000299,0.000248,1.205645,0.09792182307019112,ham
1291,ferguson,0.000299,0.000248,1.205645,0.09792182307019112,ham
101,almost,0.000299,0.000248,1.205645,0.09792182307019112,ham
1602,others,0.000299,0.000248,1.205645,0.09792182307019112,ham
4008,laws,0.000299,0.000248,1.205645,0.09792182307019112,ham
898,ken,0.001294,0.001074,1.204842,0.09750798154490514,ham
3477,msnbc,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
856,cracking,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
3130,barbrastreisand,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
2385,influenced,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
2347,lorne,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
470,wages,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
1341,managed,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
3472,comedians,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
1605,halper,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
3498,goodbye,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
3243,content,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
1415,kurt,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
1304,saturday,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
1338,french,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
1419,giuliani,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
1603,opinion,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
3508,walmart,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
1382,julian,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
1510,imagination,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
3281,refuge,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
2488,radar,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
3272,directly,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
2484,timcarvell,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
1296,prominent,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
1497,remake,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
838,sometime,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
2381,editors,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
820,charged,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
2916,curtin,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
983,generation,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
661,ambassador,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
3261,adriarichards,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
481,anthro,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
3012,rabbittest,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
1343,cards,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
3257,delighted,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
2472,hale,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
654,waxpancake,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
2530,unlike,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
2263,caramel,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
489,talented,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
3117,verdict,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
845,wkamaubell,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
3249,shelter,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
979,equally,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
1613,cash,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
496,required,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
2358,bins,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
521,sister,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
1588,simpsons,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
638,delta,0.0001,8.3e-05,1.204819,0.09749613147490124,ham
